Address,CityOrCounty,State,StateAbr,Killed,Injured,Month,Day,Year,Latitude,Longitude
N/A,Farmerville (Rocky Branch),Louisiana,LA,1,0,6,8,2017,30.8956711,-91.67752985
600 Block of East St,Opelousas,Louisiana,LA,1,0,6,3,2017,30.52714715,-92.08493154
3400 block of Esplanade Avenue,New Orleans,Louisiana,LA,1,0,5,26,2017,30.06880013,-89.9308814
E Dean St,Eunice,Louisiana,LA,1,0,5,8,2017,30.49037133,-92.4190641
11320 Greenwell Springs Rd,Baton Rouge,Louisiana,LA,1,0,5,5,2017,30.4931301,-91.0561101
4747 Southpark Drive,Baton Rouge,Louisiana,LA,1,0,3,13,2017,30.4063458,-91.0590637
1700 block of Rena St,Lake Charles,Louisiana,LA,1,0,2,23,2017,30.8956711,-91.67752985
N/A,Harrisonburg,Louisiana,LA,1,0,2,20,2017,31.76801255,-91.82508744
101 Lighthouse Lane,Sterlington,Louisiana,LA,1,0,12,28,2016,32.68860796,-92.06019294
N/A,Plaquemine,Louisiana,LA,1,0,12,24,2016,30.28320339,-91.24300709
600 block of Curtis Street,Franklin,Louisiana,LA,1,0,12,8,2016,29.78505741,-91.50977503
N/A,Many (Sabine),Louisiana,LA,1,0,11,20,2016,30.8956711,-91.67752985
490 Greenwood Mountain Rd,Hebron,Maine,ME,1,0,10,28,2017,44.1799485,-70.3714033
17 Milliken St,Scarborough,Maine,ME,1,0,8,28,2017,43.5778114,-70.3788129
Burnell Rd,Baldwin,Maine,ME,1,0,7,30,2017,43.8329357,-70.71885626
Brunell Avenue,Sanford,Maine,ME,1,0,12,28,2016,43.44007343,-70.78014959
10400 Good Luck Rd,Glenn Dale,Maryland,MD,1,0,10,30,2017,38.98333245,-76.80403733
8900 Block of Good Harvest Rd,Jessup,Maryland,MD,1,0,7,22,2017,39.14566235,-76.77444962
6600 block of Eylers Valley Flint Road,Sabillasville,Maryland,MD,1,0,11,26,2016,39.69737593,-77.45618176
N/A,Dudley,Massachusetts,MA,1,0,2,3,2017,42.055014,-71.93521584
Goodwin St and Caniff St,Detroit,Michigan,MI,1,0,10,9,2017,41.93132091,-83.3292499
24204 Lotus Drive,Clinton,Michigan,MI,1,0,6,20,2017,42.06993607,-83.96860332
1751 Evanston Ave,Muskegon,Michigan,MI,1,0,5,1,2017,43.2213169,-86.2019731
N/A,Iron Mountain,Michigan,MI,1,0,3,23,2017,44.81566738,-86.14800697
800 Block of Kalamazoo Ave SE,Grand Rapids,Michigan,MI,1,0,3,20,2017,42.96148154,-85.65568585
100 block of Wall St,Pontiac,Michigan,MI,1,0,3,18,2017,42.64932157,-83.28780622
192nd Ave and Cleveland Rd,Holton,Michigan,MI,1,0,2,18,2017,43.42475631,-86.09849397
791 Tennessee Street,Detroit,Michigan,MI,1,0,12,21,2016,41.93132091,-83.3292499
4300 block of Tireman,Detroit,Michigan,MI,1,0,12,12,2016,41.93132091,-83.3292499
Gunthorpe Road,Branch (county),Michigan,MI,1,0,11,26,2016,44.81566738,-86.14800697
N 1311 County Rd KCI,Marquette,Michigan,MI,1,0,11,23,2016,46.55065449,-87.39598714
212 Stevens Drive,Ypsilanti,Michigan,MI,1,0,11,13,2016,42.2352631,-83.6374204
5800 block of Stepetz Road 53,Aurora,Minnesota,MN,1,0,11,11,2017,46.36813604,-93.71317296
549 US Highway 75,Halstad,Minnesota,MN,1,0,6,26,2017,47.35103677,-96.8246316
N/A,Goodridge,Minnesota,MN,1,0,5,3,2017,48.14412047,-95.80393233
N/A,Sebeka,Minnesota,MN,1,0,2,25,2017,46.62904935,-95.08780992
Poplar St,Columbus,Mississippi,MS,1,0,10,31,2017,33.50858606,-88.41339952
N/A,Falkner,Mississippi,MS,1,0,10,2,2017,34.83807483,-88.9424349
Longwood Cove,Horn Lake,Mississippi,MS,1,1,9,30,2017,34.95119955,-90.05012568
Bealman Road,De Kalb,Mississippi,MS,1,0,9,9,2017,32.77068945,-88.655965
Carroll Cove West,Horn Lake,Mississippi,MS,1,0,9,3,2017,34.95119955,-90.05012568
1700 block of South Chrisman Avenue,Cleveland,Mississippi,MS,1,0,8,30,2017,33.74312012,-90.72901275
3600 block of Sabine Street,Gulfport,Mississippi,MS,1,0,8,4,2017,30.42114042,-89.0691754
100 block of Maxwell St,Starkville,Mississippi,MS,1,0,7,21,2017,33.46083149,-88.82974123
Florence St,Columbus,Mississippi,MS,1,0,7,13,2017,33.50858606,-88.41339952
4000 block of Highpoint Weir Road,Louisville,Mississippi,MS,1,0,7,4,2017,33.12239929,-89.05535763
3720 Cromwell Street,Jackson,Mississippi,MS,1,0,7,1,2017,32.31702909,-90.21275137
2214 Catalpa Ave,Pascagoula,Mississippi,MS,1,0,6,29,2017,32.60010548,-89.72682633
88 Mt Olive Rd,Monticello,Mississippi,MS,1,0,6,8,2017,31.55253779,-90.11453859
2004 Ford St,Vicksburg,Mississippi,MS,1,0,4,23,2017,32.3420319,-90.8742214
County Road 269,Woodland,Mississippi,MS,1,0,3,5,2017,33.77967503,-89.05069001
803 29th St,Meridian,Mississippi,MS,1,0,12,30,2016,32.38453325,-88.68968173
Buggs Ferry Road,Macon (Prairie Point),Mississippi,MS,1,0,12,29,2016,32.60010548,-89.72682633
188 Mt. Horeb Rd,Meridian,Mississippi,MS,1,0,12,17,2016,32.38453325,-88.68968173
6600 block of Bartmer Ave,Saint Louis (University City),Missouri,MO,1,0,10,7,2017,38.30885939,-92.50820581
5400 block of Arlington Ave,Saint Louis,Missouri,MO,1,0,9,23,2017,38.30885939,-92.50820581
CR 621,Salem,Missouri,MO,1,0,9,23,2017,37.64005199,-91.53696488
Good Life Cir and Brush Creek Rd,Pineville,Missouri,MO,1,0,9,14,2017,36.57751425,-94.38880551
2600 Mary St,Saint Joseph,Missouri,MO,1,0,8,20,2017,38.30885939,-92.50820581
1900 block of Iditarod Trail,Festus,Missouri,MO,1,0,8,12,2017,38.21951355,-90.40970144
9600 block of Lydia Avenue,Kansas City,Missouri,MO,1,0,8,6,2017,38.30885939,-92.50820581
N/A,Miller,Missouri,MO,1,0,7,29,2017,37.21476983,-93.84057779
1400 block of Kealty Ln,Saint Louis,Missouri,MO,1,0,7,23,2017,38.30885939,-92.50820581
10000 block of Toelle Ln,Saint Louis,Missouri,MO,1,0,6,24,2017,38.30885939,-92.50820581
200 block of Bates St,Saint Louis,Missouri,MO,1,0,6,4,2017,38.30885939,-92.50820581
2500 block of Hodiamont Ave,Saint Louis,Missouri,MO,1,0,6,1,2017,38.30885939,-92.50820581
1500 block of Cochran Pl,Saint Louis,Missouri,MO,1,0,6,1,2017,38.30885939,-92.50820581
3300 block of Michigan Ave,Saint Louis,Missouri,MO,1,0,3,14,2017,38.30885939,-92.50820581
6249 Kaiser Rd,Otterville,Missouri,MO,1,0,3,4,2017,38.70292473,-93.00276916
2400 Block of  South Pennsylvania,Joplin,Missouri,MO,1,0,3,2,2017,37.07596793,-94.50214662
Minnie Ave,Saint Louis (Jennings),Missouri,MO,1,0,2,13,2017,38.30885939,-92.50820581
2000 block of N Florissant Ave,Saint Louis,Missouri,MO,1,0,1,15,2017,38.30885939,-92.50820581
1054 James Street,Carthage,Missouri,MO,1,0,1,13,2017,37.15042458,-94.32262021
210 W. Second St.,Mountain View,Missouri,MO,1,0,12,10,2016,36.99342426,-91.70229677
Bugg Street,Vanduser,Missouri,MO,1,0,12,8,2016,36.99103689,-89.68651891
246 Hope Road,Helena,Montana,MT,1,0,8,1,2017,46.59622802,-112.0194346
362 Crooked Creek Rd,Shepherd,Montana,MT,1,0,5,7,2017,45.94680509,-108.3463477
10565 US 12,Lolo,Montana,MT,2,0,1,9,2017,46.7755913,-114.1018051
Daisy Dean Road,Park (county),Montana,MT,1,0,11,15,2016,46.91471155,-109.7498422
N/A,Libby,Montana,MT,1,0,11,12,2016,48.38713044,-115.5559901
183rd St and Emiline St,Omaha,Nebraska,NE,1,0,10,5,2017,41.26588379,-96.05382374
2701 Camden Ave,Omaha,Nebraska,NE,1,0,4,2,2017,41.3056176,-95.9519967
14122 Manderson Plaza,Omaha,Nebraska,NE,1,0,1,31,2017,41.2938657,-96.1342467
900 block of Seven Hills Dr,Henderson,Nevada,NV,1,0,11,2,2017,36.0122334,-115.0374619
6800 block of Fallona Ave,Las Vegas,Nevada,NV,1,0,8,31,2017,36.2277116,-115.2640448
9500 block of Chandler Springs Ave,Las Vegas,Nevada,NV,1,0,8,1,2017,36.2277116,-115.2640448
1071 W Sunset Rd,Henderson,Nevada,NV,1,0,1,21,2017,36.0631548,-115.0345676
1000 E 6th Street,Reno,Nevada,NV,1,0,1,14,2017,39.5341183,-119.7995211
3700 block of Cambridge,Las Vegas,Nevada,NV,1,0,1,1,2017,36.2277116,-115.2640448
5801 W. Lake Mead Boulevard,Las Vegas,Nevada,NV,1,0,12,10,2016,36.2277116,-115.2640448
Pine Rd,Exeter (Brentwood),New Hampshire,NH,1,0,11,4,2017,43.73857152,-71.51309929
22 March Hill Rd,Alstead,New Hampshire,NH,1,0,1,7,2017,43.0840667,-72.3585433
878 S 19th St,Newark,New Jersey,NJ,1,0,3,18,2017,40.72417185,-74.17242155
Locker Street,Toms River (Berkeley Township),New Jersey,NJ,1,0,1,28,2017,40.12272985,-74.70346139
Union Ave,Stratford,New Jersey,NJ,1,0,12,31,2016,39.82895688,-75.01545765
2000 block of Genesee Street,Trenton (Hamilton Township),New Jersey,NJ,1,0,11,17,2016,40.12272985,-74.70346139
Lobo Canyon Rd,Grants,New Mexico,NM,1,0,4,13,2017,35.15384157,-107.834702
900 block of Lamont Street,Carlsbad,New Mexico,NM,1,0,2,1,2017,32.40633489,-104.2385096
